"indicateur","region","Unit","Date","Value"
"beaf meat production","ADAMAWA","tonne","2019","9661.68"
"beaf meat production","ADAMAWA","tonne","2020","8627.31"
"beaf meat production","ADAMAWA","tonne","2021","9574.524"
"beaf meat production","ADAMAWA","tonne","2022","9125.298"
"beaf meat production","CENTRE","tonne","2019","18064.12455"
"beaf meat production","CENTRE","tonne","2020","23694.1038"
"beaf meat production","CENTRE","tonne","2021","31209.2514"
"beaf meat production","CENTRE","tonne","2022","31240.0584"
"beaf meat production","EAST","tonne","2019","6747.2649"
"beaf meat production","EAST","tonne","2020","5819.8203"
"beaf meat production","EAST","tonne","2021","6766.4349"
"beaf meat production","EAST","tonne","2022","6789.2472"
"beaf meat production","FAR NORTH","tonne","2019","12517.8291"
"beaf meat production","FAR NORTH","tonne","2020","12304.49535"
"beaf meat production","FAR NORTH","tonne","2021","13467.2139"
"beaf meat production","FAR NORTH","tonne","2022","18191.31615"
"beaf meat production","NORTH","tonne","2019","10384.1757"
"beaf meat production","NORTH","tonne","2020","9731.9043"
"beaf meat production","NORTH","tonne","2021","9775.62675"
"beaf meat production","NORTH","tonne","2022","9162.01125"
"beaf meat production","LITTORAL","tonne","2019","26275.68855"
"beaf meat production","LITTORAL","tonne","2020","25564.14135"
"beaf meat production","LITTORAL","tonne","2021","29157.55245"
"beaf meat production","LITTORAL","tonne","2022","26772.4521"
"beaf meat production","NORTH WEST","tonne","2019","11321.208"
"beaf meat production","NORTH WEST","tonne","2020","11281.032"
"beaf meat production","NORTH WEST","tonne","2021","11258.676"
"beaf meat production","NORTH WEST","tonne","2022","11001.096"
"beaf meat production","WEST","tonne","2019","6129.7236"
"beaf meat production","WEST","tonne","2020","6459.7176"
"beaf meat production","WEST","tonne","2021","6305.7204"
"beaf meat production","WEST","tonne","2022","6226.3404"
"beaf meat production","SOUTH WEST","tonne","2019","2859.84"
"beaf meat production","SOUTH WEST","tonne","2020","4331.664"
"beaf meat production","SOUTH WEST","tonne","2021","4795.632"
"beaf meat production","SOUTH WEST","tonne","2022","4509"
"beaf meat production","SOUTH","tonne","2019","3148.44705"
"beaf meat production","SOUTH","tonne","2020","2167.7085"
"beaf meat production","SOUTH","tonne","2021","2883.53655"
"beaf meat production","SOUTH","tonne","2022","3495.1095"
"Goat meat production","ADAMAWA","tonne","2019","1596"
"Goat meat production","ADAMAWA","tonne","2020","1450.6"
"Goat meat production","ADAMAWA","tonne","2021","1834.2"
"Goat meat production","ADAMAWA","tonne","2022","1840.6"
"Goat meat production","CENTRE","tonne","2019","926"
"Goat meat production","CENTRE","tonne","2020","1033.2"
"Goat meat production","CENTRE","tonne","2021","1421.2"
"Goat meat production","CENTRE","tonne","2022","1403"
"Goat meat production","EAST","tonne","2019","492.6"
"Goat meat production","EAST","tonne","2020","503.2"
"Goat meat production","EAST","tonne","2021","454.8"
"Goat meat production","EAST","tonne","2022","453.6"
"Goat meat production","FAR NORTH","tonne","2019","12894.2"
"Goat meat production","FAR NORTH","tonne","2020","14231.8"
"Goat meat production","FAR NORTH","tonne","2021","14709"
"Goat meat production","FAR NORTH","tonne","2022","20456.6"
"Goat meat production","NORTH","tonne","2019","4963.6"
"Goat meat production","NORTH","tonne","2020","4721"
"Goat meat production","NORTH","tonne","2021","4643.8"
"Goat meat production","NORTH","tonne","2022","4636.2"
"Goat meat production","LITTORAL","tonne","2019","1658"
"Goat meat production","LITTORAL","tonne","2020","1555.4"
"Goat meat production","LITTORAL","tonne","2021","1564.8"
"Goat meat production","LITTORAL","tonne","2022","1622.4"
"Goat meat production","NORTH WEST","tonne","2019","979.8"
"Goat meat production","NORTH WEST","tonne","2020","904.2"
"Goat meat production","NORTH WEST","tonne","2021","775.4"
"Goat meat production","NORTH WEST","tonne","2022","490.8"
"Goat meat production","WEST","tonne","2019","1066.6"
"Goat meat production","WEST","tonne","2020","1048.4"
"Goat meat production","WEST","tonne","2021","1655.4"
"Goat meat production","WEST","tonne","2022","1470.6"
"Goat meat production","SOUTH WEST","tonne","2019","138"
"Goat meat production","SOUTH WEST","tonne","2020","416.6"
"Goat meat production","SOUTH WEST","tonne","2021","387.2"
"Goat meat production","SOUTH WEST","tonne","2022","416.8"
"Goat meat production","SOUTH","tonne","2019","366"
"Goat meat production","SOUTH","tonne","2020","218"
"Goat meat production","SOUTH","tonne","2021","337.2"
"Goat meat production","SOUTH","tonne","2022","477.6"
"Sheep meat production","ADAMAWA","tonne","2019","2977.6"
"Sheep meat production","ADAMAWA","tonne","2020","2125.4"
"Sheep meat production","ADAMAWA","tonne","2021","2190.6"
"Sheep meat production","ADAMAWA","tonne","2022","1836.6"
"Sheep meat production","CENTRE","tonne","2019","1212.2"
"Sheep meat production","CENTRE","tonne","2020","1188.4"
"Sheep meat production","CENTRE","tonne","2021","1761"
"Sheep meat production","CENTRE","tonne","2022","1864.2"
"Sheep meat production","EAST","tonne","2019","1206.4"
"Sheep meat production","EAST","tonne","2020","868.2"
"Sheep meat production","EAST","tonne","2021","793"
"Sheep meat production","EAST","tonne","2022","550.8"
"Sheep meat production","FAR NORTH","tonne","2019","6756.2"
"Sheep meat production","FAR NORTH","tonne","2020","7260"
"Sheep meat production","FAR NORTH","tonne","2021","9421.4"
"Sheep meat production","FAR NORTH","tonne","2022","13979.6"
"Sheep meat production","NORTH","tonne","2019","2317.4"
"Sheep meat production","NORTH","tonne","2020","2353.6"
"Sheep meat production","NORTH","tonne","2021","2568.2"
"Sheep meat production","NORTH","tonne","2022","2471.8"
"Sheep meat production","LITTORAL","tonne","2019","1990.4"
"Sheep meat production","LITTORAL","tonne","2020","1996.4"
"Sheep meat production","LITTORAL","tonne","2021","1971.2"
"Sheep meat production","LITTORAL","tonne","2022","2359.2"
"Sheep meat production","NORTH WEST","tonne","2019","496.6"
"Sheep meat production","NORTH WEST","tonne","2020","470.8"
"Sheep meat production","NORTH WEST","tonne","2021","381.4"
"Sheep meat production","NORTH WEST","tonne","2022","403.4"
"Sheep meat production","WEST","tonne","2019","675"
"Sheep meat production","WEST","tonne","2020","665.6"
"Sheep meat production","WEST","tonne","2021","834.8"
"Sheep meat production","WEST","tonne","2022","780.2"
"Sheep meat production","SOUTH WEST","tonne","2019","6.4"
"Sheep meat production","SOUTH WEST","tonne","2020","42.6"
"Sheep meat production","SOUTH WEST","tonne","2021","141.6"
"Sheep meat production","SOUTH WEST","tonne","2022","397"
"Sheep meat production","SOUTH","tonne","2019","558.6"
"Sheep meat production","SOUTH","tonne","2020","315.6"
"Sheep meat production","SOUTH","tonne","2021","333.8"
"Sheep meat production","SOUTH","tonne","2022","472.6"
"Pig meat production","ADAMAWA","tonne","2019","573.086956521739"
"Pig meat production","ADAMAWA","tonne","2020","541.130434782608"
"Pig meat production","ADAMAWA","tonne","2021","640.95652173913"
"Pig meat production","ADAMAWA","tonne","2022","894.173913043478"
"Pig meat production","CENTRE","tonne","2019","6604.34782608696"
"Pig meat production","CENTRE","tonne","2020","8343.39130434783"
"Pig meat production","CENTRE","tonne","2021","7183.52173913043"
"Pig meat production","CENTRE","tonne","2022","7873.17391304348"
"Pig meat production","EAST","tonne","2019","623.608695652174"
"Pig meat production","EAST","tonne","2020","517.695652173913"
"Pig meat production","EAST","tonne","2021","581.304347826087"
"Pig meat production","EAST","tonne","2022","581"
"Pig meat production","FAR NORTH","tonne","2019","2278.65217391304"
"Pig meat production","FAR NORTH","tonne","2020","2432.65217391304"
"Pig meat production","FAR NORTH","tonne","2021","3872.52173913043"
"Pig meat production","FAR NORTH","tonne","2022","7311.65217391304"
"Pig meat production","NORTH","tonne","2019","2512.08695652174"
"Pig meat production","NORTH","tonne","2020","3738.60869565217"
"Pig meat production","NORTH","tonne","2021","2268.91304347826"
"Pig meat production","NORTH","tonne","2022","2260.08695652174"
"Pig meat production","LITTORAL","tonne","2019","8552.47826086956"
"Pig meat production","LITTORAL","tonne","2020","6955.26086956521"
"Pig meat production","LITTORAL","tonne","2021","9477.08695652174"
"Pig meat production","LITTORAL","tonne","2022","9277.73913043478"
"Pig meat production","NORTH WEST","tonne","2019","13875.2173913044"
"Pig meat production","NORTH WEST","tonne","2020","13402.5652173913"
"Pig meat production","NORTH WEST","tonne","2021","12234.4782608696"
"Pig meat production","NORTH WEST","tonne","2022","9954.30434782609"
"Pig meat production","WEST","tonne","2019","4472.08695652174"
"Pig meat production","WEST","tonne","2020","3983.60869565217"
"Pig meat production","WEST","tonne","2021","4649.52173913044"
"Pig meat production","WEST","tonne","2022","4218.86956521739"
"Pig meat production","SOUTH WEST","tonne","2019","483.608695652174"
"Pig meat production","SOUTH WEST","tonne","2020","948.652173913044"
"Pig meat production","SOUTH WEST","tonne","2021","1166.26086956522"
"Pig meat production","SOUTH WEST","tonne","2022","1079.21739130435"
"Pig meat production","SOUTH","tonne","2019","2856.91304347826"
"Pig meat production","SOUTH","tonne","2020","1595.08695652174"
"Pig meat production","SOUTH","tonne","2021","2030.30434782609"
"Pig meat production","SOUTH","tonne","2022","2581.17391304348"
"Poultry meat production","ADAMAWA","tonne","2019","452.238522091032"
"Poultry meat production","ADAMAWA","tonne","2020","574.601752673932"
"Poultry meat production","ADAMAWA","tonne","2021","1057.48203312296"
"Poultry meat production","ADAMAWA","tonne","2022","1399.61606600278"
"Poultry meat production","CENTRE","tonne","2019","12272.5693949975"
"Poultry meat production","CENTRE","tonne","2020","14884.8633636916"
"Poultry meat production","CENTRE","tonne","2021","19954.3063822238"
"Poultry meat production","CENTRE","tonne","2022","26308.216857033"
"Poultry meat production","EAST","tonne","2019","623.983183004106"
"Poultry meat production","EAST","tonne","2020","288.595024428574"
"Poultry meat production","EAST","tonne","2021","292.467278560944"
"Poultry meat production","EAST","tonne","2022","310.850295547249"
"Poultry meat production","FAR NORTH","tonne","2019","3706.53184564726"
"Poultry meat production","FAR NORTH","tonne","2020","2957.72960772894"
"Poultry meat production","FAR NORTH","tonne","2021","3707.67314160207"
"Poultry meat production","FAR NORTH","tonne","2022","2427.49573529801"
"Poultry meat production","NORTH","tonne","2019","693.113109409369"
"Poultry meat production","NORTH","tonne","2020","738.632475749626"
"Poultry meat production","NORTH","tonne","2021","804.634028421632"
"Poultry meat production","NORTH","tonne","2022","920.06796213608"
"Poultry meat production","LITTORAL","tonne","2019","8706.50866307318"
"Poultry meat production","LITTORAL","tonne","2020","8525.65401480658"
"Poultry meat production","LITTORAL","tonne","2021","7692.22264381106"
"Poultry meat production","LITTORAL","tonne","2022","11536.6067365707"
"Poultry meat production","NORTH WEST","tonne","2019","47471.7976343686"
"Poultry meat production","NORTH WEST","tonne","2020","1372.89751248942"
"Poultry meat production","NORTH WEST","tonne","2021","1074.72375415446"
"Poultry meat production","NORTH WEST","tonne","2022","1277.98652567654"
"Poultry meat production","WEST","tonne","2019","6177.09112295421"
"Poultry meat production","WEST","tonne","2020","6140.99763838354"
"Poultry meat production","WEST","tonne","2021","6103.82399871278"
"Poultry meat production","WEST","tonne","2022","6806.74002516252"
"Poultry meat production","SOUTH WEST","tonne","2019","10547.9998762917"
"Poultry meat production","SOUTH WEST","tonne","2020","5941.51540971175"
"Poultry meat production","SOUTH WEST","tonne","2021","10625.1494448079"
"Poultry meat production","SOUTH WEST","tonne","2022","6458.77723079924"
"Poultry meat production","SOUTH","tonne","2019","12678.7586633407"
"Poultry meat production","SOUTH","tonne","2020","3045.61958639129"
"Poultry meat production","SOUTH","tonne","2021","1366.02935647569"
"Poultry meat production","SOUTH","tonne","2022","2361.40247134392"
"Milk production","ADAMAWA","tonne","2019","55146.5328333333"
"Milk production","ADAMAWA","tonne","2020","52664.8364166667"
"Milk production","ADAMAWA","tonne","2021","40193.6282777778"
"Milk production","ADAMAWA","tonne","2022","44306.8979791667"
"Milk production","CENTRE","tonne","2019","1130.17660555556"
"Milk production","CENTRE","tonne","2020","2381.15108333333"
"Milk production","CENTRE","tonne","2021","3844.12298611111"
"Milk production","CENTRE","tonne","2022","3964.06863333333"
"Milk production","EAST","tonne","2019","5746.95202777778"
"Milk production","EAST","tonne","2020","5540.71070833333"
"Milk production","EAST","tonne","2021","6271.05605555556"
"Milk production","EAST","tonne","2022","7102.93669444445"
"Milk production","FAR NORTH","tonne","2019","16622.5596722222"
"Milk production","FAR NORTH","tonne","2020","18424.8605972222"
"Milk production","FAR NORTH","tonne","2021","15319.9351944445"
"Milk production","FAR NORTH","tonne","2022","19960.2408809524"
"Milk production","NORTH","tonne","2019","5170.13630555556"
"Milk production","NORTH","tonne","2020","4978.47176388889"
"Milk production","NORTH","tonne","2021","7823.61201388889"
"Milk production","NORTH","tonne","2022","8478.70618055556"
"Milk production","LITTORAL","tonne","2019","427.690694444445"
"Milk production","LITTORAL","tonne","2020","835.151805555556"
"Milk production","LITTORAL","tonne","2021","837.590833333333"
"Milk production","LITTORAL","tonne","2022","637.217527777778"
"Milk production","NORTH WEST","tonne","2019","117048.397861111"
"Milk production","NORTH WEST","tonne","2020","97356.1753888889"
"Milk production","NORTH WEST","tonne","2021","86049.3591111111"
"Milk production","NORTH WEST","tonne","2022","82257.7326111111"
"Milk production","WEST","tonne","2019","6286.23541666667"
"Milk production","WEST","tonne","2020","5652.94902777778"
"Milk production","WEST","tonne","2021","5645.19808444445"
"Milk production","WEST","tonne","2022","6985.60224166667"
"Milk production","SOUTH WEST","tonne","2019","37.3601666666667"
"Milk production","SOUTH WEST","tonne","2020","38.5079444444444"
"Milk production","SOUTH WEST","tonne","2021","147.059027777778"
"Milk production","SOUTH WEST","tonne","2022","213.113638888889"
"Milk production","SOUTH","tonne","2019","0"
"Milk production","SOUTH","tonne","2020","0"
"Milk production","SOUTH","tonne","2021","0"
"Milk production","SOUTH","tonne","2022","0"
"Eggs production","ADAMAWA","tonne","2019","929.463106587921"
"Eggs production","ADAMAWA","tonne","2020","1565.2116606072"
"Eggs production","ADAMAWA","tonne","2021","1917.79677165126"
"Eggs production","ADAMAWA","tonne","2022","3690.98548061391"
"Eggs production","CENTRE","tonne","2019","5733.26321898986"
"Eggs production","CENTRE","tonne","2020","8249.1185310254"
"Eggs production","CENTRE","tonne","2021","4136.23731920797"
"Eggs production","CENTRE","tonne","2022","4450.32474823967"
"Eggs production","EAST","tonne","2019","1901.21074316613"
"Eggs production","EAST","tonne","2020","3519.90968370832"
"Eggs production","EAST","tonne","2021","3029.50809207774"
"Eggs production","EAST","tonne","2022","2717.16335689795"
"Eggs production","FAR NORTH","tonne","2019","130.267092592109"
"Eggs production","FAR NORTH","tonne","2020","53.5408821064049"
"Eggs production","FAR NORTH","tonne","2021","31.6317217034293"
"Eggs production","FAR NORTH","tonne","2022","55.186551872862"
"Eggs production","NORTH","tonne","2019","47.3337298809843"
"Eggs production","NORTH","tonne","2020","26.6486934855792"
"Eggs production","NORTH","tonne","2021","20.2782416216742"
"Eggs production","NORTH","tonne","2022","102.251751495906"
"Eggs production","LITTORAL","tonne","2019","3226.54905090324"
"Eggs production","LITTORAL","tonne","2020","3114.53038127124"
"Eggs production","LITTORAL","tonne","2021","4059.2931681106"
"Eggs production","LITTORAL","tonne","2022","3558.49971519817"
"Eggs production","NORTH WEST","tonne","2019","5.71226706146388"
"Eggs production","NORTH WEST","tonne","2020","4731.16054808543"
"Eggs production","NORTH WEST","tonne","2021","4781.942580447"
"Eggs production","NORTH WEST","tonne","2022","4639.42666452626"
"Eggs production","WEST","tonne","2019","65834.6284176511"
"Eggs production","WEST","tonne","2020","68503.5931383131"
"Eggs production","WEST","tonne","2021","84537.9497373614"
"Eggs production","WEST","tonne","2022","85610.5525603338"
"Eggs production","SOUTH WEST","tonne","2019","2765.72972896103"
"Eggs production","SOUTH WEST","tonne","2020","3473.18302958262"
"Eggs production","SOUTH WEST","tonne","2021","2038.45089652981"
"Eggs production","SOUTH WEST","tonne","2022","2192.39321641667"
"Eggs production","SOUTH","tonne","2019","584.298987639316"
"Eggs production","SOUTH","tonne","2020","638.432298396024"
"Eggs production","SOUTH","tonne","2021","292.788772429857"
"Eggs production","SOUTH","tonne","2022","360.249078873872"
"Honey production","ADAMAWA","tonne","2019","987.07111"
"Honey production","ADAMAWA","tonne","2020","1855.939574"
"Honey production","ADAMAWA","tonne","2021","2018.87293"
"Honey production","ADAMAWA","tonne","2022","2209.6265"
"Honey production","CENTRE","tonne","2019","4521.848"
"Honey production","CENTRE","tonne","2020","3880.7109"
"Honey production","CENTRE","tonne","2021","3682.12674"
"Honey production","CENTRE","tonne","2022","4002.1138"
"Honey production","EAST","tonne","2019","15.56249"
"Honey production","EAST","tonne","2020","4.02002"
"Honey production","EAST","tonne","2021","7.69782"
"Honey production","EAST","tonne","2022","9.09936"
"Honey production","FAR NORTH","tonne","2019","0.08662"
"Honey production","FAR NORTH","tonne","2020","0.22862"
"Honey production","FAR NORTH","tonne","2021","2.32596"
"Honey production","FAR NORTH","tonne","2022","4.14072"
"Honey production","NORTH","tonne","2019","1.87866"
"Honey production","NORTH","tonne","2020","7.2917"
"Honey production","NORTH","tonne","2021","15.2011"
"Honey production","NORTH","tonne","2022","8.57822"
"Honey production","LITTORAL","tonne","2019","3.66928"
"Honey production","LITTORAL","tonne","2020","4.92456"
"Honey production","LITTORAL","tonne","2021","9.93432"
"Honey production","LITTORAL","tonne","2022","7.62327"
"Honey production","NORTH WEST","tonne","2019","1518.98678"
"Honey production","NORTH WEST","tonne","2020","1079.24686"
"Honey production","NORTH WEST","tonne","2021","1122.76134"
"Honey production","NORTH WEST","tonne","2022","981.051020000001"
"Honey production","WEST","tonne","2019","135.922471"
"Honey production","WEST","tonne","2020","83.7646782"
"Honey production","WEST","tonne","2021","98.711584"
"Honey production","WEST","tonne","2022","98.0659952"
"Honey production","SOUTH WEST","tonne","2019","13.87198"
"Honey production","SOUTH WEST","tonne","2020","8.02726"
"Honey production","SOUTH WEST","tonne","2021","6.4196638"
"Honey production","SOUTH WEST","tonne","2022","514.33505328"
"Honey production","SOUTH","tonne","2019","6.27072"
"Honey production","SOUTH","tonne","2020","7.81284"
"Honey production","SOUTH","tonne","2021","12.25744"
"Honey production","SOUTH","tonne","2022","9.34786"
